80.000	4.178	1.000	1.000	1.000	1.000	1.000	1.000	1.000
70.000	4.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
60.000	3.800	0.000	0.000	0.000	0.000	0.000	0.000	0.000
50.000	3.600	0.000	0.000	0.000	0.000	0.000	0.000	0.000
40.000	3.400	0.000	0.000	0.000	0.000	0.000	0.000	0.000
30.000	3.200	0.000	0.000	0.000	0.000	0.000	0.000	0.000
20.000	3.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
10.000	2.750	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	2.470	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-10.000	2.100	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-20.000	1.900	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-30.000	1.800	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-40.000	1.700	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-50.000	1.500	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-60.000	1.250	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-70.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-80.000	0.821	0.000	0.000	0.000	0.000	0.000	0.000	0.000
